Date,ChosenTicker
2022-07-07,IBM
2022-07-08,MSFT
2022-07-11,MO
2022-07-12,BKNG
2022-07-13,JPM
2022-07-14,EQIX
2022-07-15,BLK
2022-07-18,INTU
2022-07-19,PFE
2022-07-20,MDT
2022-07-21,TXN
2022-07-22,ISRG
2022-07-25,AMAT
2022-07-26,INTC
2022-07-27,ICE
2022-07-28,ABBV
2022-07-29,AIG
2022-08-01,DE
2022-08-02,VZ
2022-08-03,BAC
2022-08-04,KO
2022-08-05,ALL
2022-08-08,TMO
2022-08-09,CL
2022-08-10,MCD
2022-08-11,AMD
2022-08-12,HUM
2022-08-15,ADI
2022-08-16,GM
2022-08-17,AAPL
2022-08-18,BRK-B
2022-08-19,EOG
2022-08-22,ACN
2022-08-23,UNP
2022-08-24,MRK
2022-08-25,DHR
2022-08-26,ADP
2022-08-29,APD
2022-08-30,XOM
2022-08-31,DIS
2022-09-01,PEP
2022-09-02,GOOGL
2022-09-06,NEE
2022-09-07,PNC
2022-09-08,LOW
2022-09-09,V
2022-09-12,WMT
2022-09-13,SYK
2022-09-14,JNJ
2022-09-15,SBUX
2022-09-16,GE
2022-09-19,CAT
2022-09-20,EL
2022-09-21,CI
2022-09-22,HON
2022-09-23,USB
2022-09-26,VRTX
2022-09-27,HD
2022-09-28,AIG
2022-09-29,NOW
2022-09-30,DUK
2022-10-03,AON
2022-10-04,MMC
2022-10-05,DHR
2022-10-06,RTX
2022-10-07,GILD
2022-10-10,ABT
2022-10-11,NSC
2022-10-12,PLD
2022-10-13,META
2022-10-14,AMZN
2022-10-17,UNH
2022-10-18,AMGN
2022-10-19,T
2022-10-20,LMT
2022-10-21,IBM
2022-10-24,BDX
2022-10-25,COST
2022-10-26,NVDA
2022-10-27,AMZN
2022-10-28,AVGO
2022-10-31,FI
2022-11-01,MA
2022-11-02,CB
2022-11-03,CVX
2022-11-04,SPGI
2022-11-07,CME
2022-11-08,MU
2022-11-09,EQIX
2022-11-10,FDX
2022-11-11,CRM
2022-11-14,HUM
2022-11-15,AVGO
2022-11-16,JPM
2022-11-17,GS
2022-11-18,MSFT
2022-11-21,AAPL
2022-11-22,ISRG
2022-11-23,PGR
2022-11-25,DE
2022-11-28,VZ
2022-11-29,WFC
2022-11-30,PNC
2022-12-01,MMC
2022-12-02,PM
2022-12-05,JNJ
2022-12-06,MO
2022-12-07,DUK
2022-12-08,CSCO
2022-12-09,LOW
2022-12-12,NFLX
2022-12-13,GE
2022-12-14,C
2022-12-15,QCOM
2022-12-16,BKNG
2022-12-19,MCD
2022-12-20,ADBE
2022-12-21,CI
2022-12-22,CRM
2022-12-23,EL
2022-12-27,INTC
2022-12-28,REGN
2022-12-29,RTX
2022-12-30,GILD
2023-01-03,MRK
2023-01-04,LIN
2023-01-05,NOW
2023-01-06,BRK-B
2023-01-09,INTU
2023-01-10,KO
2023-01-11,HON
2023-01-12,MDT
2023-01-13,VRTX
2023-01-17,ABT
2023-01-18,V
2023-01-19,USB
2023-01-20,SHW
2023-01-23,PFE
2023-01-24,ABBV
2023-01-25,SYK
2023-01-26,DIS
2023-01-27,APD
2023-01-30,ICE
2023-01-31,BLK
2023-02-01,TXN
2023-02-02,CB
2023-02-03,LMT
2023-02-06,SHW
2023-02-07,META
2023-02-08,TMO
2023-02-09,ZTS
2023-02-10,ALL
2023-02-13,BDX
2023-02-14,DHR
2023-02-15,GM
2023-02-16,MO
2023-02-17,PEP
2023-02-21,FI
2023-02-22,PLD
2023-02-23,BAC
2023-02-24,WMT
2023-02-27,PM
2023-02-28,GOOGL
2023-03-01,ADP
2023-03-02,ACN
2023-03-03,UNH
2023-03-06,HD
2023-03-07,AIG
2023-03-08,AMGN
2023-03-09,SO
2023-03-10,AMZN
2023-03-13,ADI
2023-03-14,C
2023-03-15,NOW
2023-03-16,NVDA
2023-03-17,QCOM
2023-03-20,SPGI
2023-03-21,EOG
2023-03-22,MA
2023-03-23,NEE
2023-03-24,PNC
2023-03-27,WFC
2023-03-28,HUM
2023-03-29,T
2023-03-30,DUK
2023-03-31,COST
2023-04-03,MSFT
2023-04-04,CAT
2023-04-05,JPM
2023-04-06,AMD
2023-04-10,BKNG
2023-04-11,META
2023-04-12,CVX
2023-04-13,AAPL
2023-04-14,JNJ
2023-04-17,CAT
2023-04-18,MMC
2023-04-19,CSCO
2023-04-20,GE
2023-04-21,C
2023-04-24,MU
2023-04-25,AMT
2023-04-26,DIS
2023-04-27,DE
2023-04-28,AVGO
2023-05-01,ISRG
2023-05-02,MS
2023-05-03,EL
2023-05-04,ALL
2023-05-05,MCD
2023-05-08,VZ
2023-05-09,LOW
2023-05-10,AMAT
2023-05-11,GM
2023-05-12,CB
2023-05-15,USB
2023-05-16,TXN
2023-05-17,MRK
2023-05-18,IBM
2023-05-19,ABT
2023-05-22,UNP
2023-05-23,LMT
2023-05-24,SBUX
2023-05-25,INTC
2023-05-26,ICE
2023-05-30,CI
2023-05-31,PFE
2023-06-01,MDT
2023-06-02,EQIX
2023-06-05,BLK
2023-06-06,NSC
2023-06-07,KO
2023-06-08,FI
2023-06-09,ABBV
2023-06-12,AON
2023-06-13,ACN
2023-06-14,CME
2023-06-15,RTX
2023-06-16,FDX
2023-06-20,SYK
2023-06-21,BDX
2023-06-22,CSCO
2023-06-23,BRK-B
2023-06-26,EOG
2023-06-27,PLD
2023-06-28,HD
2023-06-29,LIN
2023-06-30,AMGN
2023-07-03,CL
2023-07-05,APD
2023-07-06,REGN
2023-07-07,BAC
2023-07-10,GOOGL
2023-07-11,GILD
2023-07-12,TMO
2023-07-13,TGT
2023-07-14,PEP
2023-07-17,ADP
2023-07-18,WMT
2023-07-19,SHW
2023-07-20,EL
2023-07-21,NVDA
2023-07-24,AMZN
2023-07-25,PG
2023-07-26,NOW
2023-07-27,WFC
2023-07-28,HON
2023-07-31,PNC
2023-08-01,SPGI
2023-08-02,GS
2023-08-03,MU
2023-08-04,AMT
2023-08-07,QCOM
2023-08-08,MA
2023-08-09,INTC
2023-08-10,AMD
2023-08-11,ALL
2023-08-14,BKNG
2023-08-15,MSFT
2023-08-16,MO
2023-08-17,DUK
2023-08-18,AON
2023-08-21,JPM
2023-08-22,ADBE
2023-08-23,MMC
2023-08-24,CRM
2023-08-25,META
2023-08-28,LOW
2023-08-29,PGR
2023-08-30,CVX
2023-08-31,NEE
2023-09-01,APD
2023-09-05,XOM
2023-09-06,DE
2023-09-07,INTU
2023-09-08,JNJ
2023-09-11,CAT
2023-09-12,GOOGL
2023-09-13,CB
2023-09-14,MRK
2023-09-15,VZ
2023-09-18,HD
2023-09-19,PM
2023-09-20,MCD
2023-09-21,REGN
2023-09-22,GE
2023-09-25,COST
2023-09-26,GM
2023-09-27,C
2023-09-28,ACN
2023-09-29,NFLX
2023-10-02,ISRG
2023-10-03,AMAT
2023-10-04,PLD
2023-10-05,CI
2023-10-06,DHR
2023-10-09,TMO
2023-10-10,CME
2023-10-11,ABBV
2023-10-12,SBUX
2023-10-13,FDX
2023-10-16,HON
2023-10-17,DIS
2023-10-18,ABT
2023-10-19,ADI
2023-10-20,RTX
2023-10-23,AAPL
2023-10-24,LMT
2023-10-25,AIG
2023-10-26,BDX
2023-10-27,SYK
2023-10-30,HUM
2023-10-31,ZTS
2023-11-01,MDT
2023-11-02,VRTX
2023-11-03,KO
2023-11-06,FI
2023-11-07,PEP
2023-11-08,BAC
2023-11-09,AMGN
2023-11-10,UNH
2023-11-13,USB
2023-11-14,AVGO
2023-11-15,WMT
2023-11-16,ICE
2023-11-17,BRK-B
2023-11-20,EOG
2023-11-21,BLK
2023-11-22,NSC
2023-11-24,EL
2023-11-27,AMZN
2023-11-28,MS
2023-11-29,NOW
2023-11-30,ADP
2023-12-01,NVDA
2023-12-04,PNC
2023-12-05,SPGI
2023-12-06,IBM
2023-12-07,QCOM
2023-12-08,INTC
2023-12-11,LIN
2023-12-12,WFC
2023-12-13,FDX
2023-12-14,PFE
2023-12-15,MMC
2023-12-18,SHW
2023-12-19,MSFT
2023-12-20,MO
2023-12-21,MA
2023-12-22,GILD
2023-12-26,MU
2023-12-27,TXN
2023-12-28,GOOGL
2023-12-29,NEE
2024-01-02,HD
2024-01-03,AON
2024-01-04,GE
2024-01-05,CSCO
2024-01-08,DUK
2024-01-09,DHR
2024-01-10,AMGN
2024-01-11,V
2024-01-12,DE
2024-01-16,AMT
2024-01-17,JNJ
2024-01-18,COST
2024-01-19,LOW
2024-01-22,SO
2024-01-23,ACN
2024-01-24,UNP
2024-01-25,JPM
2024-01-26,VRTX
2024-01-29,ABT
2024-01-30,T
2024-01-31,BKNG
2024-02-01,META
2024-02-02,CVX
2024-02-05,CRM
2024-02-06,PLD
2024-02-07,ALL
2024-02-08,APD
2024-02-09,AMD
2024-02-12,MCD
2024-02-13,XOM
2024-02-14,MRK
2024-02-15,ADBE
2024-02-16,ABBV
2024-02-20,AIG
2024-02-21,CI
2024-02-22,CB
2024-02-23,RTX
2024-02-26,DIS
2024-02-27,WMT
2024-02-28,VZ
2024-02-29,MDT
2024-03-01,GS
2024-03-04,HUM
2024-03-05,EQIX
2024-03-06,GM
2024-03-07,MO
2024-03-08,TMO
2024-03-11,TGT
2024-03-12,ISRG
2024-03-13,PGR
2024-03-14,PEP
2024-03-15,FI
2024-03-18,LMT
2024-03-19,REGN
2024-03-20,BRK-B
2024-03-21,INTU
2024-03-22,USB
2024-03-25,IBM
2024-03-26,BLK
2024-03-27,MS
2024-03-28,BAC
2024-04-01,KO
2024-04-02,BDX
2024-04-03,SBUX
2024-04-04,EL
2024-04-05,AMZN
2024-04-08,CL
2024-04-09,NVDA
2024-04-10,PNC
2024-04-11,NOW
2024-04-12,SPGI
2024-04-15,T
2024-04-16,WFC
2024-04-17,QCOM
2024-04-18,PLD
2024-04-19,MA
2024-04-22,CAT
2024-04-23,INTC
2024-04-24,PM
2024-04-25,BKNG
2024-04-26,META
2024-04-29,FDX
2024-04-30,AAPL
2024-05-01,MSFT
2024-05-02,PFE
2024-05-03,ABT
2024-05-06,NFLX
2024-05-07,HD
2024-05-08,ADBE
2024-05-09,AMGN
2024-05-10,PG
2024-05-13,DE
2024-05-14,AVGO
2024-05-15,GOOGL
2024-05-16,ADP
2024-05-17,LOW
2024-05-20,UNP
2024-05-21,GE
2024-05-22,C
2024-05-23,MU
2024-05-24,ADI
2024-05-28,JNJ
2024-05-29,HON
2024-05-30,DUK
2024-05-31,AON
2024-06-03,USB
2024-06-04,LIN
2024-06-05,ALL
2024-06-06,ISRG
2024-06-07,ZTS
2024-06-10,MMC
2024-06-11,SYK
2024-06-12,ACN
2024-06-13,UNH
2024-06-14,GM
2024-06-17,NEE
2024-06-18,MCD
2024-06-20,AMD
2024-06-21,ABBV
2024-06-24,SHW
2024-06-25,DIS
2024-06-26,JPM
2024-06-27,TXN
2024-06-28,BDX
2024-07-01,CSCO
2024-07-02,LMT
2024-07-03,PM
2024-07-05,KO
2024-07-08,FI
2024-07-09,MDT
2024-07-10,EOG
2024-07-11,WMT
2024-07-12,ICE
2024-07-15,MRK
2024-07-16,XOM
2024-07-17,BLK
2024-07-18,TGT
2024-07-19,TMO
2024-07-22,CME
2024-07-23,HUM
2024-07-24,NFLX
2024-07-25,BRK-B
2024-07-26,AMT
2024-07-29,RTX
2024-07-30,GILD
2024-07-31,CI
2024-08-01,ADP
2024-08-02,CVX
2024-08-05,HON
2024-08-06,PEP
2024-08-07,BAC
2024-08-08,APD
2024-08-09,AVGO
2024-08-12,EL
2024-08-13,AMZN
2024-08-14,NSC
2024-08-15,QCOM
2024-08-16,NOW
2024-08-19,NVDA
2024-08-20,SPGI
2024-08-21,SO
2024-08-22,WFC
2024-08-23,INTC
2024-08-26,REGN
2024-08-27,ACN
2024-08-28,V
2024-08-29,MA
2024-08-30,GILD
2024-09-03,BKNG
2024-09-04,META
2024-09-05,USB
2024-09-06,AMD
2024-09-09,HD
2024-09-10,VZ
2024-09-11,PNC
2024-09-12,FDX
2024-09-13,CAT
2024-09-16,ABT
2024-09-17,AMAT
2024-09-18,GM
2024-09-19,CRM
2024-09-20,DE
2024-09-23,INTU
2024-09-24,PLD
2024-09-25,ALL
2024-09-26,LOW
2024-09-27,EQIX
2024-09-30,MU
2024-10-01,T
2024-10-02,CVX
2024-10-03,MSFT
2024-10-04,AIG
2024-10-07,ISRG
2024-10-08,PGR
2024-10-09,GOOGL
2024-10-10,CB
2024-10-11,AMGN
2024-10-14,PG
2024-10-15,MMC
2024-10-16,COST
2024-10-17,CI
2024-10-18,AAPL
2024-10-21,GE
2024-10-22,CRM
2024-10-23,DIS
2024-10-24,JPM
2024-10-25,ADBE
2024-10-28,DUK
2024-10-29,DHR
2024-10-30,LMT
2024-10-31,SBUX
2024-11-01,MDT
2024-11-04,SO
2024-11-05,APD
2024-11-06,IBM
2024-11-07,JNJ
2024-11-08,MO
2024-11-11,BRK-B
2024-11-12,TXN
2024-11-13,MCD
2024-11-14,LIN
2024-11-15,PEP
2024-11-18,BAC
2024-11-19,MRK
2024-11-20,ICE
2024-11-21,ABBV
2024-11-22,AON
2024-11-25,TMO
2024-11-26,CL
2024-11-27,BLK
2024-11-29,TGT
2024-12-02,HUM
2024-12-03,UNP
2024-12-04,KO
2024-12-05,RTX
2024-12-06,NEE
2024-12-09,BDX
2024-12-10,SHW
2024-12-11,WMT
2024-12-12,SYK
2024-12-13,EL
2024-12-16,NVDA
2024-12-17,BKNG
2024-12-18,PFE
2024-12-19,NOW
2024-12-20,FI
2024-12-23,MA
2024-12-24,ADP
2024-12-26,MU
2024-12-27,VRTX
2024-12-30,WFC
2024-12-31,SPGI
2025-01-02,GS
2025-01-03,USB
2025-01-06,AMT
2025-01-07,PEP
2025-01-08,ABT
2025-01-10,UNH
2025-01-13,DE
2025-01-14,ADI
2025-01-15,AMZN
2025-01-16,CME
2025-01-17,GOOGL
2025-01-21,GILD
2025-01-22,ACN
2025-01-23,CL
2025-01-24,FDX
2025-01-27,HON
2025-01-28,CI
2025-01-29,NEE
2025-01-30,LOW
2025-01-31,ZTS
2025-02-03,QCOM
2025-02-04,PNC
2025-02-05,ABBV
2025-02-06,AIG
2025-02-07,PLD
2025-02-10,INTC
2025-02-11,XOM
2025-02-12,HD
2025-02-13,PM
2025-02-14,MSFT
2025-02-18,CRM
2025-02-19,KO
2025-02-20,BDX
2025-02-21,C
2025-02-24,META
2025-02-25,MDT
2025-02-26,EOG
2025-02-27,BRK-B
2025-02-28,INTU
2025-03-03,DUK
2025-03-04,CSCO
2025-03-05,CVX
2025-03-06,AAPL
2025-03-07,HUM
2025-03-10,VRTX
2025-03-11,LMT
2025-03-12,REGN
2025-03-13,GM
2025-03-14,MO
2025-03-17,MMC
2025-03-18,COST
2025-03-19,APD
2025-03-20,IBM
2025-03-21,JPM
2025-03-24,ADBE
2025-03-25,ALL
2025-03-26,GE
2025-03-27,CAT
2025-03-28,DIS
2025-03-31,RTX
2025-04-01,FI
2025-04-02,MRK
2025-04-03,AMD
2025-04-04,WMT
2025-04-07,DHR
2025-04-08,BAC
2025-04-09,AMGN
2025-04-10,PG
2025-04-11,BLK
2025-04-14,NSC
2025-04-15,TMO
2025-04-16,V
2025-04-17,MCD
2025-04-21,VZ
2025-04-22,ISRG
2025-04-23,MS
2025-04-24,JNJ
2025-04-25,PFE
2025-04-28,EL
2025-04-29,NVDA
2025-04-30,MA
2025-05-01,C
2025-05-02,BKNG
2025-05-05,MU
2025-05-06,AMAT
2025-05-07,SPGI
2025-05-08,GS
2025-05-09,ABT
2025-05-12,EQIX
2025-05-13,QCOM
2025-05-14,PEP
2025-05-15,GILD
2025-05-16,NOW
2025-05-19,WFC
2025-05-20,HD
2025-05-21,AMT
2025-05-22,WMT
2025-05-23,SBUX
2025-05-27,AMGN
2025-05-28,NFLX
2025-05-29,ADP
2025-05-30,CI
2025-06-02,CB
2025-06-03,HUM
2025-06-04,ADI
2025-06-05,LOW
2025-06-06,T
2025-06-09,ABBV
2025-06-10,AON
2025-06-11,PNC
2025-06-12,LMT
2025-06-13,ICE
2025-06-16,BRK-B
2025-06-17,AVGO
2025-06-18,GE
2025-06-20,CSCO
2025-06-23,USB
2025-06-24,TXN
2025-06-25,GM
2025-06-26,CRM
2025-06-27,MSFT
2025-06-30,AAPL
2025-07-01,ACN
2025-07-02,CME
2025-07-03,CVX
2025-07-07,HON
2025-07-08,TMO
2025-07-09,UNP
2025-07-10,MDT
2025-07-11,SO
2025-07-14,ISRG
2025-07-15,MS
2025-07-16,BLK
2025-07-17,NSC
2025-07-18,BDX
2025-07-21,COST
2025-07-22,FDX
2025-07-23,MO
2025-07-24,GOOGL
2025-07-25,CB
2021-09-28,PLD
2021-09-29,APD
2021-09-30,XOM
2021-10-01,ALL
2021-10-04,MMC
2021-10-05,DHR
2021-10-06,AMZN
2021-10-07,AMAT
2021-10-08,DIS
2021-10-11,MRK
2021-10-12,LIN
2021-10-13,DE
2021-10-14,AVGO
2021-10-15,INTC
2021-10-18,AIG
2021-10-19,MCD
2021-10-20,AMD
2021-10-21,KO
2021-10-22,FI
2021-10-25,DUK
2021-10-26,COST
2021-10-27,JPM
2021-10-28,REGN
2021-10-29,BAC
2021-11-01,JNJ
2021-11-02,CAT
2021-11-03,RTX
2021-11-04,NEE
2021-11-05,EL
2021-11-08,NVDA
2021-11-09,MA
2021-11-10,GILD
2021-11-11,AMGN
2021-11-12,PG
2021-11-15,PEP
2021-11-16,META
2021-11-17,SPGI
2021-11-18,EOG
2021-11-19,MU
2021-11-22,INTU
2021-11-23,QCOM
2021-11-24,BLK
2021-11-26,TGT
2021-11-29,HD
2021-11-30,SYK
2021-12-01,WMT
2021-12-02,PM
2021-12-03,GM
2021-12-06,SHW
2021-12-07,ABT
2021-12-08,PGR
2021-12-09,WFC
2021-12-10,NOW
2021-12-13,GILD
2021-12-14,BKNG
2021-12-15,BRK-B
2021-12-16,ZTS
2021-12-17,LOW
2021-12-20,UNH
2021-12-21,ABBV
2021-12-22,SYK
2021-12-23,MSFT
2021-12-27,PFE
2021-12-28,ISRG
2021-12-29,NSC
2021-12-30,GE
2021-12-31,C
2022-01-03,HUM
2022-01-04,T
2022-01-05,MDT
2022-01-06,VRTX
2022-01-07,PNC
2022-01-10,CI
2022-01-11,NEE
2022-01-12,INTC
2022-01-13,SBUX
2022-01-14,MRK
2022-01-18,VZ
2022-01-19,CVX
2022-01-20,ADP
2022-01-21,JPM
2022-01-24,TXN
2022-01-25,DUK
2022-01-26,CSCO
2022-01-27,KO
2022-01-28,ALL
2022-01-31,ACN
2022-02-01,V
2022-02-02,PLD
2022-02-03,DIS
2022-02-04,MCD
2022-02-07,IBM
2022-02-08,RTX
2022-02-09,FI
2022-02-10,FDX
2022-02-11,CRM
2022-02-14,USB
2022-02-15,AMT
2022-02-16,BDX
2022-02-17,COST
2022-02-18,GOOGL
2022-02-22,HON
2022-02-23,APD
2022-02-24,ICE
2022-02-25,BAC
2022-02-28,DE
2022-03-01,XOM
2022-03-02,LMT
2022-03-03,ADBE
2022-03-04,TMO
2022-03-07,CL
2022-03-08,JNJ
2022-03-09,MO
2022-03-10,AMZN
2022-03-11,NFLX
2022-03-14,MMC
2022-03-15,AON
2022-03-16,EL
2022-03-17,NVDA
2022-03-18,WMT
2022-03-21,AIG
2022-03-22,GM
2022-03-23,DHR
2022-03-24,AMGN
2022-03-25,CME
2022-03-28,MA
2022-03-29,CB
2022-03-30,PEP
2022-03-31,QCOM
2022-04-01,AMZN
2022-04-04,GS
2022-04-05,PFE
2022-04-06,BKNG
2022-04-07,META
2022-04-08,BLK
2022-04-11,UNP
2022-04-12,WFC
2022-04-13,SPGI
2022-04-14,ADI
2022-04-18,DE
2022-04-19,LIN
2022-04-20,FI
2022-04-21,ABT
2022-04-22,EQIX
2022-04-25,DIS
2022-04-26,HD
2022-04-27,PM
2022-04-28,PNC
2022-04-29,PLD
2022-05-02,JPM
2022-05-03,EOG
2022-05-04,BRK-B
2022-05-05,VRTX
2022-05-06,NOW
2022-05-09,ALL
2022-05-10,GE
2022-05-11,CSCO
2022-05-12,ISRG
2022-05-13,PGR
2022-05-16,MU
2022-05-17,GS
2022-05-18,MSFT
2022-05-19,AAPL
2022-05-20,GOOGL
2022-05-23,ADP
2022-05-24,ABBV
2022-05-25,SHW
2022-05-26,JNJ
2022-05-27,CAT
2022-05-31,BAC
2022-06-01,HUM
2022-06-02,INTU
2022-06-03,CVX
2022-06-06,AAPL
2022-06-07,MDT
2022-06-08,ZTS
2022-06-09,USB
2022-06-10,AMD
2022-06-13,CI
2022-06-14,NEE
2022-06-15,RTX
2022-06-16,GILD
2022-06-17,LMT
2022-06-21,REGN
2022-06-22,ACN
2022-06-23,TGT
2022-06-24,MRK
2022-06-27,ADBE
2022-06-28,INTC
2022-06-29,SBUX
2022-06-30,DUK
2022-07-01,SHW
2022-07-05,TMO
2022-07-06,V
2022-07-07,KO
2022-07-08,LOW
2022-07-11,PG
2022-07-12,APD
2022-07-13,VZ
2022-07-14,MCD
2022-07-15,ICE
2022-07-18,FDX
2022-07-19,C
2022-07-20,BDX
2022-07-21,SHW
2022-07-22,MMC
2022-07-25,CSCO
2022-07-26,EL
2022-07-27,NVDA
2022-07-28,BKNG
2022-07-29,META
2022-08-01,MSFT
2022-08-02,HON
2022-08-03,AMGN
2022-08-04,CL
2022-08-05,CI
2022-08-08,CRM
2022-08-09,WMT
2022-08-10,AON
2022-08-11,MA
2022-08-12,PFE
2022-08-15,NOW
2022-08-16,BRK-B
2022-08-17,SO
2022-08-18,AMZN
2022-08-19,UNH
2022-08-22,HD
2022-08-23,AIG
2022-08-24,PEP
2022-08-25,CB
2022-08-26,USB
2022-08-29,AMT
2022-08-30,ABT
2022-08-31,AMAT
2022-09-01,DE
2022-09-02,AVGO
2022-09-06,PLD
2022-09-07,QCOM
2022-09-08,GM
2022-09-09,C
2022-09-12,SPGI
2022-09-13,ADI
2022-09-14,PNC
2022-09-15,HUM
2022-09-16,EOG
2022-09-19,GOOGL
2022-09-20,PFE
2022-09-21,ACN
2022-09-22,MS
2022-09-23,ISRG
2022-09-26,NSC
2022-09-27,MDT
2022-09-28,EQIX
2022-09-29,RTX
2022-09-30,GILD
2022-10-03,ABBV
2022-10-04,DHR
2022-10-05,BLK
2022-10-06,CME
2022-10-07,WFC
2022-10-10,JPM
2022-10-11,TXN
2022-10-12,JNJ
2022-10-13,MO
2022-10-14,GE
2022-10-17,COST
2022-10-18,LMT
2022-10-19,SYK
2022-10-20,BAC
2022-10-21,TMO
2022-10-24,T
2022-10-25,DIS
2022-10-26,KO
2022-10-27,FI
2022-10-28,APD
2022-10-31,IBM
2022-11-01,CVX
2022-11-02,ADP
2022-11-03,LOW
2022-11-04,PGR
2022-11-07,MCD
2022-11-08,LIN
2022-11-09,INTC
2022-11-10,PM
2022-11-11,FDX
2022-11-14,CAT
2022-11-15,MMC
2022-11-16,C
2022-11-17,MRK
2022-11-18,XOM
2022-11-21,DUK
2022-11-22,DHR
2022-11-23,MU
2022-11-25,GS
2022-11-28,BDX
2022-11-29,SHW
2022-11-30,NVDA
2022-12-01,EL
2022-12-02,HD
2022-12-05,ICE
2022-12-06,AMGN
2022-12-07,PG
2022-12-08,MSFT
2022-12-09,NEE
2022-12-12,USB
2022-12-13,AMD
2022-12-14,ALL
2022-12-15,BRK-B
2022-12-16,AVGO
2022-12-19,LMT
2022-12-20,SBUX
2022-12-21,NOW
2022-12-22,META
2022-12-23,ABBV
2022-12-27,AON
2022-12-28,BKNG
2022-12-29,CI
2022-12-30,CSCO
